text,icon,code,weather_time,city
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-25 18:45,Chennai
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-25 18:45,Mumbai
Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,2023-11-25 18:45,Pune
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-25 18:45,Hyderabad
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,2023-11-25 18:45,Bengaluru
Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2023-11-25 18:45,Surat
Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2023-11-25 18:45,Kolkata
Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,2023-11-25 18:45,Ahmedabad
Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,2023-11-25 18:45,Visakhapatnam
Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,2023-11-25 18:45,Madurai
