text,icon,code,weather_time
Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,1186,2023-11-23 07:00
Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,2023-11-23 07:00
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-23 07:00
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-23 07:00
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-23 07:00
Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2023-11-23 07:00
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-23 07:00
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-23 07:00
Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,2023-11-23 07:00
Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,2023-11-23 07:00
