name,region,country,lat,lon,tz_id,localtime_epoch,localtime
Chennai,Tamil Nadu,India,13.08,80.28,Asia/Kolkata,1700703542,2023-11-23 7:09
Mumbai,Maharashtra,India,18.98,72.83,Asia/Kolkata,1700703542,2023-11-23 7:09
Pune,Maharashtra,India,18.53,73.87,Asia/Kolkata,1700703543,2023-11-23 7:09
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1700703543,2023-11-23 7:09
Bengaluru,Karnataka,India,12.98,77.58,Asia/Kolkata,1700703501,2023-11-23 7:08
Surat,Gujarat,India,20.97,72.9,Asia/Kolkata,1700703502,2023-11-23 7:08
Kolkata,West Bengal,India,22.57,88.37,Asia/Kolkata,1700703545,2023-11-23 7:09
Ahmedabad,Gujarat,India,23.03,72.62,Asia/Kolkata,1700703329,2023-11-23 7:05
Visakhapatnam,Andhra Pradesh,India,17.7,83.3,Asia/Kolkata,1700703546,2023-11-23 7:09
Madurai,Tamil Nadu,India,9.93,78.12,Asia/Kolkata,1700703547,2023-11-23 7:09
